Item ID,Title,Price,Currency,Condition,Item URL,Image URL,Seller Username,Seller Feedback %,Seller Feedback Score,Shipping Cost,Shipping Currency,Original Price,Discount Percentage,Discount Amount,Categories,Country
v1|304762827171|605112036405,"Dell Desktop Computer PC i7, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro, WiFi BT",347.24,USD,Excellent - Refurbished,https://www.ebay.com/itm/304762827171?_skw=computer&hash=item46f547b1a3:g:79kAAOSwcTxntOEE&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UYRW07EA25PWFlFe%2FAxe6iQ47Hw2%2Ft5HXsNKphqNjkhsJgl0tULu92HzeGfXd%2FQApIcrjJ82TwE%2FPla1wbOF39K81q72hCOggB2IwK9zfIyc3BhZi%2FMZMXt7uKVlgwhUVqhVECFUvJWBYNIWSekwGuqOOWJuNddui7YHn1n2h83G7GLdMY0jJ5wKwgFNl19%2FO%2B8rL5tcbv--Hh4IajVhR0gQ0bAxSbx4HRznEAk7gIBOPPg9lPc%2BbBzavyoSVhKE92t5GvgahK%2BXtnwiw3lkSua,https://i.ebayimg.com/images/g/79kAAOSwcTxntOEE/s-l225.jpg,tech_leaf,100.0,14783,0.00,USD,1736.20,80,1388.96,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|304029933336|604571522153,"Dell Desktop Computer PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro, WiFi BT",326.87,USD,Very Good - Refurbished,https://www.ebay.com/itm/304029933336?_skw=computer&hash=item46c9989f18:g:RpIAAOSw669nqa6H&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UZN07EVw4KLHrP5zRav6GWAo4jUSDk30I96NR4aIEEbz1W%2FxWBn9T0ffgNa%2BO%2FemBbWiSHs9ojYGBrB9Ho6SaBvxqtuD9e%2BrUbbhKExXHAxo1j15rHtKH%2Bhd1yVCxA%2BVk4cackF2V2Om3ltCn0ahJqtzWk8qSPGotRobymJsztQvbTwn3680h5cxcD9wrsTpGWb%2BgYhsHwxTATRvUGt2fwdlUedI8Zk2sgJH%2F6gxUMiTPpmQWtTUm8kZzc2X5r3kYl%2BXC2irnNNs4XNagQRwn1F,https://i.ebayimg.com/images/g/RpIAAOSw669nqa6H/s-l225.jpg,tech_leaf,100.0,14783,0.00,USD,1634.35,80,1307.48,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|365206745206|635112840136,"DELL Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 10/11 Pro, WiFi BT",361.20,USD,Excellent - Refurbished,https://www.ebay.com/itm/365206745206?_skw=computer&hash=item550804b076:g:y9QAAOSwm8xnRg-R&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UYAP3jnzqKgmCWTGA9B3%2BY0mF9%2F5xDvyWYtodS0Ade8QMJI%2F%2B5jYLfWS56%2BGQkMzYgb%2BuuUXDThr7gB0KZXH%2BxrJdRFoIw26d6ZUzZBjc4PxaFQwZRnnEK6Jd94TXkEMRy5WaW7gxPXi8weLooF%2BuQJ6fZRr8hxZsF5CrsNNLOMdmj%2BwDb8cC5b5tKeO5Qtxtjj7Xgksj9p8%2B2Wdl8XIO1wuDXBeQymV%2BSXXg2yhAAeJp%2FUntRDbeXdzA6iWioLb7NZ7NkGLfi%2BmDBI7ntyLZQH,https://i.ebayimg.com/images/g/y9QAAOSwm8xnRg-R/s-l225.jpg,kenji2007,99.3,2234,0.00,USD,1720.00,79,1358.80,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|365297986474|635060753594,"DELL Desktop Computer PC i7, up to 64GB RAM 16TB SSD/HDD, Windows 10/11, WiFi BT",355.95,USD,Excellent - Refurbished,https://www.ebay.com/itm/365297986474?_skw=computer&hash=item550d74ebaa:g:~ewAAOSwzLlnZd~Q&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UY%2BRFqpb3sd1CG%2BAta%2Bv2q0MyP1NA2ueX1oYEbDewf1u464CIh7%2FFcYPRqkBe5ooHW46rSoq9w0VqrfHBz%2F7PbqFn%2BXcoEBPC79SsqNudStEzQyb0oWjS3ujWDzp4YLo1w2O%2BF42NwsovAP4gHVb%2BDxcCsFk5xXZHxwqTBwd2Nby5Zh34JABVQnADlw45Gt3N1UzqFzuS9H0PmIim0lWmzv%2BE8gnzWsgdpY83GgGy9CLTBXpa56hLiqoyoh3pf0%2BIsWXuXooOxGyL0ylk1OSwbY,https://i.ebayimg.com/images/g/~ewAAOSwzLlnZd~Q/s-l225.jpg,kenji2007,99.3,2234,0.00,USD,1695.00,79,1339.05,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|315248241753|0,HP EliteDesk 800 G3 35W Mini PC Computer - Intel i5-6500T 2.5Ghz 8GB + Adapter,58.49,USD,Used,https://www.ebay.com/itm/315248241753?_skw=computer&hash=item4966426c59:g:Ur4AAOSwb1Fnr0fS,https://i.ebayimg.com/images/g/Ur4AAOSwb1Fnr0fS/s-l225.jpg,mr.itparts,99.9,36335,0.00,USD,,,,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|266994538992|566731923722,Lenovo Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD Windows 10 Pro Wi-Fi,119.18,USD,Very Good - Refurbished,https://www.ebay.com/itm/266994538992?_skw=computer&hash=item3e2a1d59f0:g:bj0AAOSw5WtnqoBs,https://i.ebayimg.com/images/g/bj0AAOSw5WtnqoBs/s-l225.jpg,discountcomputerdepot,98.6,127319,0.00,USD,148.98,20,29.80,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|256466597266|0,Dell Desktop Computer PC SFF Intel Processor 8GB RAM 500GB HDD Windows 10 Wi-Fi,74.98,USD,Excellent - Refurbished,https://www.ebay.com/itm/256466597266?_skw=computer&hash=item3bb699b592:g:7RQAAOSwaIlnbsM0,https://i.ebayimg.com/images/g/7RQAAOSwaIlnbsM0/s-l225.jpg,discountcomputerdepot,98.6,127319,0.00,USD,,,,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|316138776400|0,HP EliteDesk 800 G3 Mini | i5-6500T @ 2.50GHz | 8GB RAM | AC Adapter,58.49,USD,Used,https://www.ebay.com/itm/316138776400?_skw=computer&hash=item499b56e750:g:eRwAAOSwSOJns0md,https://i.ebayimg.com/images/g/eRwAAOSwSOJns0md/s-l225.jpg,vtkphx,99.7,13821,0.00,USD,,,,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|285789353494|587813249147,HP Desktop i5 Computer PC Tower Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro Wi-Fi,75.18,USD,Very Good - Refurbished,https://www.ebay.com/itm/285789353494?_skw=computer&hash=item428a5f7616:g:GEEAAOSwcHJnokne,https://i.ebayimg.com/images/g/GEEAAOSwcHJnokne/s-l225.jpg,discountcomputerdepot,98.6,127319,0.00,USD,93.98,20,18.80,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
v1|226477916688|525663890732,Gaming PC RGB Desktop Computer i7 32GB 1TB SSD 3TB HDD GTX 1070 WIFI WIN10,339.99,USD,Excellent - Refurbished,https://www.ebay.com/itm/226477916688?_skw=computer&hash=item34bb22c210:g:LPwAAOSwuNRnTiXA,https://i.ebayimg.com/images/g/LPwAAOSwuNRnTiXA/s-l225.jpg,evounic3,96.9,24433,0.00,USD,,,,"PC Desktops & All-In-Ones, Computers/Tablets & Networking, Desktops & All-In-Ones",eBay United States
