Title,Price,Currency,Condition,Seller Feedback %,Seller Feedback Score,Shipping Cost,Shipping Currency,Original Price,Discount Percentage,Discount Amount,Country,Shipping_Cost,Brand,Processor,RAM,Device Type
"HP Desktop Computer PC i7, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro, WiFi BT",3487.5612,MAD,Refurbished,100.0,14745,0.0,MAD,17437.7058,80,13950.1446,United States,0.0,Hp,i7,Unknown,Desktop
"Dell Desktop Computer PC i5, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro WiFi",2895.7799999999997,MAD,Refurbished,100.0,14745,0.0,MAD,14478.9,80,11583.119999999999,United States,0.0,Dell,i5,32GB,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM, 17TB SSD HDD, Windows 10/11 , WiFi",1620.234,MAD,Refurbished,99.2,2206,0.0,MAD,7715.4,79,6095.165999999999,United States,0.0,Dell,i7,Unknown,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM 16TB SSD/HDD, Windows 10/11, WiFi BT",3566.6189999999997,MAD,Refurbished,99.2,2206,0.0,MAD,16983.899999999998,79,13417.280999999999,United States,0.0,Dell,i7,Unknown,Desktop
HP EliteDesk 800 G3 35W Mini PC Computer - Intel i5-6500T 2.5Ghz 8GB + Adapter,586.0698,MAD,Used,99.9,36320,0.0,MAD,586.0698,0,0.0,United States,0.0,Hp,i5,8GB,Desktop
Lenovo Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD Windows 10 Pro Wi-Fi,1122.0396,MAD,Refurbished,98.6,127179,0.0,MAD,1402.5995999999998,20,280.56,United States,0.0,Lenovo,i5,32GB,Desktop
Dell Desktop Computer OptiPlex 3050 Intel Core i5 PC 8GB RAM 500GB Hard Drive,631.1598,MAD,Used,100.0,233,0.0,MAD,631.1598,0,0.0,United States,0.0,Dell,i5,8GB,Desktop
"Dell Desktop Computer PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro, WiFi BT",2672.2338,MAD,Refurbished,100.0,14745,0.0,MAD,13360.9686,80,10688.7348,United States,0.0,Dell,i7,32GB,Desktop
HP Desktop i5 Computer PC Tower Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro Wi-Fi,1357.8102,MAD,Refurbished,98.6,127179,0.0,MAD,1697.2877999999998,20,339.4776,United States,0.0,Hp,i5,32GB,Desktop
Dell Desktop Computer PC SFF Intel Processor 8GB RAM 500GB HDD Windows 10 Wi-Fi,751.2996,MAD,Refurbished,98.6,127179,0.0,MAD,751.2996,0,0.0,United States,0.0,Dell,Unknown,8GB,Desktop
HP EliteDesk 800 G3 Mini | i5-6500T @ 2.50GHz | 8GB RAM | AC Adapter,586.0698,MAD,Used,99.7,13808,0.0,MAD,586.0698,0,0.0,United States,0.0,Hp,i5,8GB,Desktop
Dell Windows 11 Pro Desktop Computer PC Up To i7 8th Gen. 32GB RAM 4TB SSD/HDD,1380.1548,MAD,Refurbished,98.6,127179,0.0,MAD,1725.2436,20,345.08879999999994,United States,0.0,Dell,i7,32GB,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM 17TB SSD/HDD, Windows 10/11, WiFi BT",1988.4689999999998,MAD,Refurbished,99.6,263,0.0,MAD,9468.9,79,7480.431,United States,0.0,Dell,i7,Unknown,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 10/11 Pro, WiFi BT",3619.2239999999997,MAD,Refurbished,99.2,2206,0.0,MAD,17234.399999999998,79,13615.176,United States,0.0,Dell,i7,Unknown,Desktop
"HP Desktop Computer PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro, WiFi BT",2705.2998,MAD,Refurbished,97.9,1194,0.0,MAD,2705.2998,0,0.0,United States,0.0,Hp,i7,32GB,Desktop
Dell Desktop Computer Tower Up To 16GB RAM 1TB HDD/SSD 22in LCD Windows 10 Pro,923.343,MAD,Refurbished,98.6,127179,0.0,MAD,923.343,0,0.0,United States,0.0,Dell,Unknown,16GB,Desktop
Gaming PC RGB Desktop Computer i7 32GB 1TB SSD 3TB HDD GTX 1070 WIFI WIN10,3406.6998,MAD,Refurbished,96.9,24400,0.0,MAD,3406.6998,0,0.0,United States,0.0,Unknown,i7,32GB,Desktop
Dell Desktop i5 Tower Computer PC Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro WiFi,761.3196,MAD,Refurbished,98.6,127179,0.0,MAD,951.6996,20,190.38,United States,0.0,Dell,i5,32GB,Desktop
"Lenovo Micro Desktop Computer PC, Up to 16 GB RAM 1TB SSD, Windows 11/10 WiFi",791.5799999999999,MAD,Refurbished,99.6,263,0.0,MAD,1583.1599999999999,50,791.5799999999999,United States,0.0,Lenovo,Unknown,Unknown,Desktop
Gaming PC RGB Desktop Computer i7 32GB  1TB SSD 2TB HDD RX 580 WIFI WIN10 PRO,2504.8998,MAD,Refurbished,98.7,9003,0.0,MAD,2504.8998,0,0.0,United States,0.0,Unknown,i7,32GB,Desktop
Lenovo ThinkCentre M715q Tiny Ryzen 5 Pro 2400GE 3.20 GHz 8 GB DDR4 - No HDD,550.9998,MAD,Used,99.7,22326,0.0,MAD,550.9998,0,0.0,United States,0.0,Lenovo,ryzen 5,Unknown,Desktop
"HP Mini Desktop Computer PC i7, up to 32GB RAM 1TB M.2 SSD,  Windows 11/10, WiFi",1793.58,MAD,Refurbished,99.2,2206,0.0,MAD,8967.9,80,7174.32,United States,0.0,Hp,i7,32GB,Desktop
"HP Desktop Computer Intel i5 PC SFF 8GB RAM 500GB HD Wi-Fi, No O.S.",651.3,MAD,Refurbished,98.6,127179,0.0,MAD,651.3,0,0.0,United States,0.0,Hp,i5,8GB,Desktop
Dell Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD/HDD Windows 10 Pro Wi-Fi,785.3675999999999,MAD,Refurbished,98.6,127179,0.0,MAD,981.7596,20,196.392,United States,0.0,Dell,i5,32GB,Desktop
Lenovo ThinkCentre M720q i3-8100T 3.10GHZ 8GB RAM NO HDD NO OS,601.0998,MAD,Used,97.6,4436,0.0,MAD,601.0998,0,0.0,United States,0.0,Lenovo,i3,8GB,Desktop
Dell Optiplex XE3 Intel Core i7 8700 8th Gen. 3.2 GHz,651.3,MAD,Used,100.0,604,42.746583710407236,MAD,651.3,0,0.0,United States,428.32076877828047,Dell,i7,Unknown,Desktop
HP Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD/HDD Windows 10 Pro Wi-Fi,1306.4076,MAD,Refurbished,98.6,127179,0.0,MAD,1633.0595999999998,20,326.652,United States,0.0,Hp,i5,32GB,Desktop
Dell Desktop Computer PC i5 16GB RAM 240GB SSD Wifi Windows 10 Pro,801.4997999999999,MAD,Used,99.3,583,0.0,MAD,801.4997999999999,0,0.0,United States,0.0,Dell,i5,16GB,Desktop
"DELL Desktop Computer PC i7, up to 32GB RAM 2TB SSD/HDD, Windows 10/11,DVD-ROM",991.9799999999999,MAD,Refurbished,99.2,2206,0.0,MAD,6155.185799999999,84,5163.2058,United States,0.0,Dell,i7,32GB,Desktop
Dell Desktop Windows 11 Computer PC 16GB RAM 256GB SSD Intel Core i5 8th Gen.,1718.1293999999998,MAD,Refurbished,98.6,127179,0.0,MAD,1718.1293999999998,0,0.0,United States,0.0,Dell,i5,16GB,Desktop
HP Desktop Computer PC SFF Intel i5 Up To 32GB RAM 1TB SSD Windows 10 Pro Wi-Fi,753.3036000000001,MAD,Refurbished,98.6,127179,0.0,MAD,941.6796,20,188.376,United States,0.0,Hp,i5,32GB,Desktop
"Dell Desktop PC i5 13th Gen, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro WiFi BT",5565.8094,MAD,Refurbished,100.0,14745,0.0,MAD,27829.1472,80,22263.337799999998,United States,0.0,Dell,i5,Unknown,Desktop
"HP Desktop All In One Computer Intel i3 21.5"" 8GB RAM 500GB HDD Windows 10 Wi-Fi",1402.5995999999998,MAD,Refurbished,98.6,127179,0.0,MAD,1402.5995999999998,0,0.0,United States,0.0,Hp,i3,8GB,Desktop
Dell OptiPlex 3050 SFF Intel Core i5-7500 3.4GHz 8GB RAM No HDD No OS,674.8469999999999,MAD,Used,98.6,127179,0.0,MAD,674.8469999999999,0,0.0,United States,0.0,Dell,i5,8GB,Desktop
"Lenovo Desktop All In One Computer Intel i5 24"" 16GB RAM 512GB SSD Windows 11 PC",2891.3712,MAD,Refurbished,98.6,127179,0.0,MAD,2891.3712,0,0.0,United States,0.0,Lenovo,i5,16GB,Desktop
Lenovo ThinkCentre M920Q Tiny i5-8500T 16GB 256GB SSD Windows 11 Pro WIFI,1302.6,MAD,Used,93.5,377,42.746583710407236,MAD,1302.6,0,0.0,United States,428.32076877828047,Lenovo,i5,16GB,Desktop
Fast Windows Xp Dell Computer 790 i5 3.3ghz 500gb HDD dvd/RW Dual monitor,851.5998,MAD,Used,97.7,337,0.0,MAD,851.5998,0,0.0,United States,0.0,Dell,i5,Unknown,Desktop
"HP RGB G3 Desktop Computer i7 32GB 2TB SSD 2TB HDD New 24"" LED Built-in WiFi Pro",1703.2998,MAD,Refurbished,98.1,17849,0.0,MAD,1953.8999999999999,13,250.6002,United States,0.0,Hp,i7,32GB,Desktop
"HP Desktop Computer PC i7 6TH,up to 64GB RAM,17TB SSD HDD,  Windows 10/11, WiFi",1392.78,MAD,Refurbished,99.2,2206,0.0,MAD,6963.9,80,5571.12,United States,0.0,Hp,i7,Unknown,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 11/10, WiFi",1392.78,MAD,Refurbished,99.6,263,0.0,MAD,6713.4,79,5320.62,United States,0.0,Hp,i7,Unknown,Desktop
HP Desktop i5 Computer Mini Pc Up To 16GB RAM 1TB HDD/SSD Windows 10 Pro Wi-Fi,717.6324,MAD,Refurbished,98.6,127179,0.0,MAD,956.91,25,239.27759999999998,United States,0.0,Hp,i5,16GB,Desktop
Dell OptiPlex 7050 Micro Tower PC Computer i5-7500T 2.50GHz 8GB WIFI + Adapter#2,701.2997999999999,MAD,Used,95.8,1150,0.0,MAD,701.2997999999999,0,0.0,United States,0.0,Dell,i5,8GB,Desktop
"HP 15.6"" Business Laptop Computer i5-7300 16GB RAM 256GB SSD DVD Windows 11 Pro",1993.98,MAD,Refurbished,98.9,8365,0.0,MAD,1993.98,0,0.0,United States,0.0,Hp,i5,16GB,Laptop
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",991.9799999999999,MAD,Used,94.8,47559,0.0,MAD,991.9799999999999,0,0.0,United States,0.0,Unknown,Unknown,8GB,Laptop
